trial,strategy,density,success,path_length_m,avg_replanning_latency_ms,duration_s,timestamp
0,baseline,medium,1,2.868,0.0,20.6,20.602
0,baseline,medium,1,3.722,0.0,60.43,60.429
0,baseline,medium,1,2.876,0.0,20.6,20.6
0,baseline,medium,1,3.349,0.0,27.64,27.638
0,baseline,medium,1,2.863,0.0,20.7,20.7
0,baseline,medium,1,3.464,0.0,84.07,84.066
0,baseline,medium,1,3.168,0.0,22.9,22.901
0,baseline,medium,1,3.198,0.0,39.38,39.38
0,baseline,medium,1,2.861,0.0,19.6,19.601
0,baseline,medium,1,2.92,0.0,1014.42,1014.417
0,baseline,medium,0,1.772,0.0,12.64,12.637
0,baseline,medium,1,2.862,0.0,19.6,19.6
0,baseline,medium,1,2.888,0.0,51.38,51.382
0,baseline,medium,1,2.86,82.46,19.8,19.8
0,baseline,medium,1,2.881,82.46,23.92,23.917
0,baseline,medium,1,2.86,92.64,19.8,19.8
0,baseline,medium,1,2.886,92.64,46.11,46.112
0,baseline,medium,1,2.86,85.21,20.01,20.011
0,baseline,medium,1,2.886,85.21,48.32,48.321
0,baseline,medium,0,2.433,56.09,69.47,69.466
0,baseline,medium,1,12.04,53.33,130.7,130.704
0,baseline,medium,1,12.094,53.33,160.57,160.574
0,potential_field,medium,1,20.847,60.08,96.91,96.906
0,potential_field,medium,1,20.886,60.08,116.62,116.618
0,potential_field,medium,0,3.972,70.83,20.06,20.059
0,potential_field,medium,0,2.803,91.26,14.66,14.665
0,potential_field,medium,1,20.029,57.37,92.8,92.802
0,potential_field,medium,1,20.085,57.37,126.67,126.665
0,potential_field,medium,1,18.893,58.59,88.9,88.903
0,potential_field,medium,1,18.957,58.62,114.57,114.567
0,baseline,medium,1,17.189,63.24,184.8,184.803
0,baseline,medium,1,17.192,63.24,208.5,208.501
1,potential_field,medium,1,20.574,64.04,96.0,96.001
1,potential_field,medium,1,20.627,64.04,126.49,126.49
2,potential_field,medium,1,18.984,56.57,88.7,88.7
2,potential_field,medium,1,19.033,56.57,98.47,98.475
2,baseline,medium,1,17.374,61.73,181.1,181.101
2,baseline,medium,1,17.4,61.73,189.84,189.838
0,potential_field,medium,1,18.847,46.45,89.0,89.005
0,potential_field,medium,1,18.895,46.45,97.62,97.618
0,baseline,medium,1,17.115,51.03,182.0,182.003
0,baseline,medium,1,17.129,51.03,189.87,189.865
3,potential_field,medium,1,19.1,62.82,89.3,89.302
3,potential_field,medium,1,19.141,62.82,92.17,92.175
4,potential_field,medium,1,19.687,48.7,91.6,91.601
4,potential_field,medium,1,19.724,48.7,109.14,109.143
3,baseline,medium,1,16.981,54.2,161.5,161.501
3,baseline,medium,1,17.013,54.2,172.52,172.522
4,baseline,medium,1,17.024,56.58,168.8,168.801
4,baseline,medium,1,17.085,56.58,204.53,204.529
